dataset,features,mtwv,p_fa,p_miss,desc_score
wbp-jk,bnf,0.2656,0.04154,0.59,0.94314783
wbp-jk,mfcc,0.1843,0.02235,0.738,0.8798791
wrl-mb,20210225-Large-0FT_encoder,0.4412,0.06177,0.344,0.83519247
wrl-mb,20210225-Large-0FT_quantizer,0.203,0.17103,0.201,0.62330052
wrl-mb,20210225-Large-0FT_transformer-L01,0.3157,0.08622,0.384,0.83686593
wrl-mb,20210225-Large-0FT_transformer-L02,0.4081,0.09835,0.249,0.83599369
wrl-mb,20210225-Large-0FT_transformer-L03,0.4146,0.07431,0.327,0.84330924
wrl-mb,20210225-Large-0FT_transformer-L04,0.364,0.09216,0.315,0.84320959
wrl-mb,20210225-Large-0FT_transformer-L05,0.4074,0.08423,0.299,0.83487934
wrl-mb,20210225-Large-0FT_transformer-L06,0.4681,0.05438,0.342,0.84169229
wrl-mb,20210225-Large-0FT_transformer-L07,0.4695,0.07196,0.28,0.84292465
wrl-mb,20210225-Large-0FT_transformer-L08,0.4515,0.05236,0.366,0.86212157
wrl-mb,20210225-Large-0FT_transformer-L09,0.4654,0.0755,0.272,0.85000297
wrl-mb,20210225-Large-0FT_transformer-L10,0.5216,0.03773,0.347,0.84383578
wrl-mb,20210225-Large-0FT_transformer-L11,0.5765,0.05823,0.221,0.82465753
wrl-mb,20210225-Large-0FT_transformer-L12,0.4935,0.08383,0.214,0.79192139
wrl-mb,20210225-Large-0FT_transformer-L13,0.4943,0.03328,0.39,0.8170435
wrl-mb,20210225-Large-0FT_transformer-L14,0.418,0.0468,0.419,0.80902464
wrl-mb,20210225-Large-0FT_transformer-L15,0.3633,0.03618,0.511,0.8432606
wrl-mb,20210225-Large-0FT_transformer-L16,0.4409,0.07599,0.294,0.83267721
wrl-mb,20210225-Large-0FT_transformer-L17,0.4135,0.14474,0.082,0.7943325
wrl-mb,20210225-Large-0FT_transformer-L18,0.4488,0.03088,0.444,0.85838282
wrl-mb,20210225-Large-0FT_transformer-L19,0.3861,0.0332,0.498,0.84776951
wrl-mb,20210225-Large-0FT_transformer-L20,0.381,0.04366,0.467,0.83894918
wrl-mb,20210225-Large-0FT_transformer-L21,0.333,0.12274,0.239,0.80291019
wrl-mb,20210225-Large-0FT_transformer-L22,0.2333,0.14071,0.276,0.87365334
wrl-mb,20210225-Large-0FT_transformer-L23,0.2356,0.17828,0.143,0.89097271
wrl-mb,20210225-Large-0FT_transformer-L24,0.2482,0.11294,0.358,0.90839205
wrl-mb,bnf,0.3568,0.15459,0.105,0.87383983
wrl-mb,mfcc,0.482,0.04458,0.363,0.85987793
wrm-pd,20210225-Large-0FT_encoder,0.7781,0.02578,0.132,0.8930226
wrm-pd,20210225-Large-0FT_quantizer,0.4434,0.07726,0.287,0.72774595
wrm-pd,20210225-Large-0FT_transformer-L01,0.7281,0.02901,0.171,0.89565308
wrm-pd,20210225-Large-0FT_transformer-L02,0.7524,0.02809,0.15,0.89056445
wrm-pd,20210225-Large-0FT_transformer-L03,0.77,0.03149,0.12,0.88617226
wrm-pd,20210225-Large-0FT_transformer-L04,0.7942,0.0201,0.136,0.89079217
wrm-pd,20210225-Large-0FT_transformer-L05,0.7884,0.02478,0.125,0.88480076
wrm-pd,20210225-Large-0FT_transformer-L06,0.7581,0.04328,0.091,0.87424801
wrm-pd,20210225-Large-0FT_transformer-L07,0.7556,0.03475,0.123,0.88971657
wrm-pd,20210225-Large-0FT_transformer-L08,0.76,0.03714,0.111,0.89454648
wrm-pd,20210225-Large-0FT_transformer-L09,0.8072,0.02376,0.11,0.90060785
wrm-pd,20210225-Large-0FT_transformer-L10,0.8466,0.02245,0.075,0.89140468
wrm-pd,20210225-Large-0FT_transformer-L11,0.8526,0.01614,0.091,0.89076255
wrm-pd,20210225-Large-0FT_transformer-L12,0.8377,0.02208,0.085,0.87375875
wrm-pd,20210225-Large-0FT_transformer-L13,0.8128,0.026950000000000002,0.093,0.8656399
wrm-pd,20210225-Large-0FT_transformer-L14,0.7953,0.0299,0.1,0.86877982
wrm-pd,20210225-Large-0FT_transformer-L15,0.7563,0.02387,0.161,0.89835839
wrm-pd,20210225-Large-0FT_transformer-L16,0.7667,0.0308,0.126,0.91392076
wrm-pd,20210225-Large-0FT_transformer-L17,0.7326,0.04615,0.107,0.90309619
wrm-pd,20210225-Large-0FT_transformer-L18,0.7548,0.03455,0.125,0.89750787
wrm-pd,20210225-Large-0FT_transformer-L19,0.7718,0.02658,0.136,0.88392248
wrm-pd,20210225-Large-0FT_transformer-L20,0.7774,0.0277,0.126,0.86766888
wrm-pd,20210225-Large-0FT_transformer-L21,0.7044,0.03838,0.162,0.86740356
wrm-pd,20210225-Large-0FT_transformer-L22,0.5151,0.05371,0.298,0.91171415
wrm-pd,20210225-Large-0FT_transformer-L23,0.3209,0.11747,0.27,0.9251451
wrm-pd,20210225-Large-0FT_transformer-L24,0.3878,0.09007,0.298,0.93057529
wrm-pd,bnf,0.7142,0.02644,0.194,0.95424868
wrm-pd,mfcc,0.8265,0.01789,0.111,0.90157531
