dataset,features,mtwv,p_fa,p_miss,desc_score
gos-kdl,20210225-Large-0FT_transformer-L02,0.3907,0.04444,0.454,0.86716233
gos-kdl,20210225-Large-0FT_transformer-L03,0.4245,0.02824,0.477,0.87575338
gos-kdl,20210225-Large-0FT_transformer-L04,0.4364,0.02726,0.469,0.86790472
gos-kdl,20210225-Large-0FT_transformer-L05,0.4404,0.0228,0.48,0.87690905
gos-kdl,20210225-Large-0FT_transformer-L06,0.4608,0.03789,0.407,0.86460662
gos-kdl,20210225-Large-0FT_transformer-L07,0.4526,0.05004,0.373,0.86266209
gos-kdl,20210225-Large-0FT_transformer-L08,0.4738,0.06217,0.31,0.86273036
gos-kdl,20210225-Large-0FT_transformer-L09,0.5321,0.05897,0.262,0.85939203
gos-kdl,20210225-Large-0FT_transformer-L10,0.6608,0.03434,0.22,0.86098621
gos-kdl,20210225-Large-0FT_transformer-L11,0.7312,0.0268,0.175,0.85875596
gos-kdl,20210225-Large-0FT_transformer-L12,0.7349,0.0223,0.187,0.85169623
gos-kdl,20210225-Large-0FT_transformer-L13,0.7109,0.02093,0.216,0.84381454
gos-kdl,20210225-Large-0FT_transformer-L14,0.6803,0.02858,0.22,0.83866488
gos-kdl,20210225-Large-0FT_transformer-L15,0.6173,0.04505,0.226,0.84267702
gos-kdl,20210225-Large-0FT_transformer-L16,0.568,0.05599,0.237,0.86286914
gos-kdl,20210225-Large-0FT_transformer-L17,0.4892,0.07499,0.25,0.8621179
gos-kdl,20210225-Large-0FT_transformer-L18,0.4665,0.04988,0.36,0.86688031
gos-kdl,20210225-Large-0FT_transformer-L19,0.4781,0.04845,0.353,0.85322441
gos-kdl,20210225-Large-0FT_transformer-L20,0.4841,0.03895,0.38,0.85191263
gos-kdl,20210225-Large-0FT_transformer-L21,0.382,0.05598,0.423,0.84741609
gos-kdl,20210225-Large-0FT_transformer-L22,0.2088,0.0877,0.486,0.89537342
gos-kdl,20210225-Large-0FT_transformer-L23,0.1657,0.08522,0.537,0.92686248
gos-kdl,20210225-Large-0FT_transformer-L24,0.2423,0.07094,0.51,0.93899657
gos-kdl,bnf,0.3747,0.04177,0.48,0.93887504
gos-kdl,mfcc,0.3568,0.06776,0.407,0.88037917
gos-kdl,wav2vec2-large-xlsr-53_encoder,0.3232,0.03442,0.557,0.87141748
gos-kdl,wav2vec2-large-xlsr-53_quantizer,0.3155,0.0667,0.452,0.85622915
gos-kdl,wav2vec2-large-xlsr-53_transformer-L01,0.3187,0.03369,0.564,0.90237936
gos-kdl,wav2vec2-large-xlsr-53_transformer-L02,0.2958,0.06172,0.489,0.8881811
gos-kdl,wav2vec2-large-xlsr-53_transformer-L03,0.3373,0.03492,0.541,0.89320892
gos-kdl,wav2vec2-large-xlsr-53_transformer-L04,0.3019,0.03497,0.576,0.8894584
gos-kdl,wav2vec2-large-xlsr-53_transformer-L05,0.3476,0.04732,0.487,0.86024305
gos-kdl,wav2vec2-large-xlsr-53_transformer-L06,0.4289,0.051,0.393,0.80636521
gos-kdl,wav2vec2-large-xlsr-53_transformer-L07,0.5022,0.04833,0.329,0.78231147
gos-kdl,wav2vec2-large-xlsr-53_transformer-L08,0.5437,0.04923,0.285,0.80705403
gos-kdl,wav2vec2-large-xlsr-53_transformer-L09,0.5934,0.04039,0.266,0.81533962
gos-kdl,wav2vec2-large-xlsr-53_transformer-L10,0.6253,0.04961,0.202,0.80691207
gos-kdl,wav2vec2-large-xlsr-53_transformer-L11,0.6468,0.02783,0.256,0.82340423
gos-kdl,wav2vec2-large-xlsr-53_transformer-L12,0.6405,0.03449,0.239,0.80870113
gos-kdl,wav2vec2-large-xlsr-53_transformer-L13,0.6253,0.04902,0.204,0.79470828
gos-kdl,wav2vec2-large-xlsr-53_transformer-L14,0.4992,0.05281,0.317,0.84521784
gos-kdl,wav2vec2-large-xlsr-53_transformer-L15,0.4861,0.06364,0.292,0.85329247
gos-kdl,wav2vec2-large-xlsr-53_transformer-L16,0.5093,0.05204,0.309,0.86229679
gos-kdl,wav2vec2-large-xlsr-53_transformer-L17,0.5018,0.0583,0.295,0.87016644
gos-kdl,wav2vec2-large-xlsr-53_transformer-L18,0.431,0.05615,0.373,0.90201049
gos-kdl,wav2vec2-large-xlsr-53_transformer-L19,0.3934,0.07772,0.336,0.87101656
gos-kdl,wav2vec2-large-xlsr-53_transformer-L20,0.3402,0.06894,0.42,0.89278651
gos-kdl,wav2vec2-large-xlsr-53_transformer-L21,0.3789,0.12068,0.201,0.89773455
gos-kdl,wav2vec2-large-xlsr-53_transformer-L22,0.0231,0.05426,0.788,0.98543907
gos-kdl,wav2vec2-large-xlsr-53_transformer-L23,0.0197,0.05513,0.788,0.9849038
gos-kdl,wav2vec2-large-xlsr-53_transformer-L24,0.0178,0.0583,0.779,0.98490877
gup-wat,20210225-Large-0FT_encoder,0.3478,0.08936,0.341,0.89602621
gup-wat,20210225-Large-0FT_quantizer,0.1136,0.07384,0.629,0.7990369
gup-wat,20210225-Large-0FT_transformer-L01,0.3071,0.07222,0.441,0.89674702
gup-wat,20210225-Large-0FT_transformer-L02,0.3224,0.0762,0.412,0.88940218
gup-wat,20210225-Large-0FT_transformer-L03,0.3555,0.09204,0.324,0.88180149
gup-wat,20210225-Large-0FT_transformer-L04,0.4168,0.09071,0.267,0.87553732
gup-wat,20210225-Large-0FT_transformer-L05,0.4345,0.07201,0.315,0.88898578
gup-wat,20210225-Large-0FT_transformer-L06,0.4483,0.06036,0.341,0.89718061
gup-wat,20210225-Large-0FT_transformer-L07,0.477,0.05799,0.321,0.90341739
gup-wat,20210225-Large-0FT_transformer-L08,0.4461,0.07999,0.275,0.90840612
gup-wat,20210225-Large-0FT_transformer-L09,0.495,0.07097,0.258,0.89948715
gup-wat,20210225-Large-0FT_transformer-L10,0.5165,0.06332,0.263,0.88766935
gup-wat,20210225-Large-0FT_transformer-L11,0.5601,0.06001,0.231,0.86502384
gup-wat,20210225-Large-0FT_transformer-L12,0.5435,0.03825,0.323,0.8644755
gup-wat,20210225-Large-0FT_transformer-L13,0.5043,0.04809,0.328,0.83704004
gup-wat,20210225-Large-0FT_transformer-L14,0.4825,0.05297,0.333,0.8449928
gup-wat,20210225-Large-0FT_transformer-L15,0.4277,0.04802,0.405,0.87563277
gup-wat,20210225-Large-0FT_transformer-L16,0.451,0.07106,0.301,0.89099285
gup-wat,20210225-Large-0FT_transformer-L17,0.4178,0.0857,0.284,0.89664403
gup-wat,20210225-Large-0FT_transformer-L18,0.4149,0.07596,0.32,0.88795355
gup-wat,20210225-Large-0FT_transformer-L19,0.4261,0.05667,0.376,0.88203582
gup-wat,20210225-Large-0FT_transformer-L20,0.4032,0.06236,0.379,0.86551321
gup-wat,20210225-Large-0FT_transformer-L21,0.2978,0.09051,0.387,0.84906507
gup-wat,20210225-Large-0FT_transformer-L22,0.0896,0.07067,0.664,0.91715649
gup-wat,20210225-Large-0FT_transformer-L23,0.0347,0.05492,0.774,0.94535017
gup-wat,20210225-Large-0FT_transformer-L24,0.0537,0.10039,0.596,0.94101641
gup-wat,bnf,0.3121,0.05544,0.495,0.97411743
gup-wat,mfcc,0.3346,0.08011,0.386,0.90165607
gup-wat,wav2vec2-large-xlsr-53_encoder,0.154,0.06812,0.609,0.89832514
gup-wat,wav2vec2-large-xlsr-53_quantizer,0.1746,0.10153,0.472,0.88082955
gup-wat,wav2vec2-large-xlsr-53_transformer-L01,0.1851,0.06718,0.581,0.926863
gup-wat,wav2vec2-large-xlsr-53_transformer-L02,0.1966,0.0626,0.585,0.93013808
gup-wat,wav2vec2-large-xlsr-53_transformer-L03,0.2419,0.08849,0.45,0.91227907
gup-wat,wav2vec2-large-xlsr-53_transformer-L04,0.2458,0.06188,0.539,0.91773926
gup-wat,wav2vec2-large-xlsr-53_transformer-L05,0.2737,0.08599,0.427,0.89365945
gup-wat,wav2vec2-large-xlsr-53_transformer-L06,0.3473,0.0554,0.46,0.87159835
gup-wat,wav2vec2-large-xlsr-53_transformer-L07,0.372,0.06289,0.409,0.85251939
gup-wat,wav2vec2-large-xlsr-53_transformer-L08,0.3587,0.06014,0.432,0.86679541
gup-wat,wav2vec2-large-xlsr-53_transformer-L09,0.4082,0.06808,0.355,0.85888993
gup-wat,wav2vec2-large-xlsr-53_transformer-L10,0.4478,0.0725,0.3,0.84565077
gup-wat,wav2vec2-large-xlsr-53_transformer-L11,0.4821,0.05941,0.311,0.84870031
gup-wat,wav2vec2-large-xlsr-53_transformer-L12,0.4861,0.06087,0.302,0.83455208
gup-wat,wav2vec2-large-xlsr-53_transformer-L13,0.4369,0.04953,0.391,0.85664284
gup-wat,wav2vec2-large-xlsr-53_transformer-L14,0.3334,0.07084,0.42,0.88857346
gup-wat,wav2vec2-large-xlsr-53_transformer-L15,0.3226,0.07524,0.415,0.89812707
gup-wat,wav2vec2-large-xlsr-53_transformer-L16,0.3112,0.08209,0.403,0.89956365
gup-wat,wav2vec2-large-xlsr-53_transformer-L17,0.2983,0.10462,0.337,0.89555867
gup-wat,wav2vec2-large-xlsr-53_transformer-L18,0.2936,0.08574,0.408,0.9081818
gup-wat,wav2vec2-large-xlsr-53_transformer-L19,0.2631,0.08177,0.452,0.91539342
gup-wat,wav2vec2-large-xlsr-53_transformer-L20,0.2006,0.10403,0.437,0.91968271
gup-wat,wav2vec2-large-xlsr-53_transformer-L21,0.2778,0.09604,0.388,0.91012195
gup-wat,wav2vec2-large-xlsr-53_transformer-L22,0.0021,2.7e-4,0.997,0.99671865
gup-wat,wav2vec2-large-xlsr-53_transformer-L23,0.0015,4.2e-4,0.997,0.99621859
gup-wat,wav2vec2-large-xlsr-53_transformer-L24,0.0012,4.1e-4,0.997,0.99670567
mwf-jm,20210225-Large-0FT_encoder,0.3226,0.12242,0.251,0.84389132
mwf-jm,20210225-Large-0FT_quantizer,0.0904,0.11063,0.524,0.66290733
